url_path,views_total,views_unique
/sysbio-curie/WebMaBoSS,19,3
/sysbio-curie/WebMaBoSS/actions,10,1
/sysbio-curie/WebMaBoSS/commits/master,5,1
/sysbio-curie/WebMaBoSS/actions/runs/8824112352,4,1
/sysbio-curie/WebMaBoSS/tree/master/settings,4,1
/sysbio-curie/WebMaBoSS/releases/tag/1.0.1,3,1
/sysbio-curie/WebMaBoSS/actions/runs/8271003501,2,1
/sysbio-curie/WebMaBoSS/actions/runs/8824112352/job/24225927737,2,1
/sysbio-curie/WebMaBoSS/activity,2,1
/sysbio-curie/WebMaBoSS/blob/master/api/views/logical_model/LogicalModels.py,2,1
