time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,46,18,0,0
2026-04-21 00:00:00+00:00,68,24,0,0
2026-04-22 00:00:00+00:00,99,31,0,0
2026-04-23 00:00:00+00:00,89,28,0,0
2026-04-24 00:00:00+00:00,73,27,1,1
2026-04-25 00:00:00+00:00,46,19,0,0
2026-04-26 00:00:00+00:00,16,4,0,0
2026-04-27 00:00:00+00:00,1,1,0,0
2026-04-28 00:00:00+00:00,28,7,0,0
2026-04-29 00:00:00+00:00,25,6,0,0
2026-04-30 00:00:00+00:00,24,9,0,0
2026-05-01 00:00:00+00:00,29,6,0,0
2026-05-02 00:00:00+00:00,42,11,0,0
2026-05-03 00:00:00+00:00,10,4,0,0
