url_path,views_total,views_unique
/sysbio-curie/WebMaBoSS/blob/master/api/views/logical_model/LogicalModel.py,5,1
/sysbio-curie/WebMaBoSS/tree/master/api/views/logical_model,4,1
/sysbio-curie/WebMaBoSS/tree/master/api,3,1
/sysbio-curie/WebMaBoSS/tree/master/api/models,3,1
/sysbio-curie/WebMaBoSS,2,2
/sysbio-curie/WebMaBoSS/blob/master/api/models/logical_model.py,2,1
/sysbio-curie/WebMaBoSS/blob/master/api/views/HasModel.py,2,1
/sysbio-curie/WebMaBoSS/blob/master/api/views/logical_model/LogicalModels.py,2,1
/sysbio-curie/WebMaBoSS/blob/master/tutorials/Tutorial_Cohen.pdf,2,1
/sysbio-curie/WebMaBoSS/tree/master/api/views,2,1
